model,task,MAE,RMSE,Accuracy,Precision,Recall,F1,ROC_AUC
Linear Regression,Regression,81.93032204635867,97.20070327733912,,,,,
Logistic Regression,Classification,,,0.5,0.5555555555555556,0.2777777777777778,0.3703703703703703,0.6423611111111112
Decision Tree Regressor,Regression,77.82450048349703,98.05407062478906,,,,,
Random Forest Regressor,Regression,77.04317602603263,94.26668137823158,,,,,
Decision Tree Classifier,Classification,,,0.5294117647058824,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.6666666666666666
Random Forest Classifier,Classification,,,0.5882352941176471,0.625,0.5555555555555556,0.5882352941176471,0.6631944444444444
NN Regressor (Early Stop),Regression,86.0634367241579,109.00214453912973,,,,,
NN Regressor (No Stop),Regression,80.34792033924775,98.72942233637195,,,,,
NN Classifier (Early Stop),Classification,,,0.5588235294117647,0.7142857142857143,0.2777777777777778,0.4,0.5972222222222223
NN Classifier (No Stop),Classification,,,0.5294117647058824,0.5625,0.5,0.5294117647058824,0.5555555555555556
